,礦業及土石採取業,製造業,電力及燃氣供應業,用水供應及污染整治業,營建工程業
主管及監督人員,118.4 ,145.6 ,164.9 ,112.6 ,102.8 
專業人員,105.4 ,123.5 ,105.7 ,86.2 ,80.5 
技術員及助理專業人員,86.1 ,73.8 ,94.0 ,60.3 ,58.5 
事務支援人員,54.1 ,52.8 ,87.1 ,53.1 ,46.2 
服務及銷售工作人員,0.0 ,48.4 ,0.0 ,59.0 ,43.6 
技藝、機械設備操作及組裝人員,62.1 ,52.7 ,97.8 ,54.8 ,52.6 
基層技術工及勞力工,35.8 ,41.9 ,55.1 ,37.5 ,44.0 
