,批發及零售業,運輸及倉儲業,住宿及餐飲業,出版影音及資通訊業,金融及保險業,不動產業,專業、科學及技術服務業,支援服務業,教育業,醫療保健及社會工作服務業,藝術、娛樂及休閒服務業,其他服務業
主管及監督人員,74376,75970,50497,96440,117387,62558,84162,54282,52873,93387,63367,51299
專業人員,57026,66362,44762,66448,71720,56047,60907,53740,37887,73289,37582,45838
技術員及助理專業人員,45063,88786,39574,50811,61984,44611,41773,40617,36718,39685,42365,38357
事務支援人員,37051,42951,33578,38017,51297,36093,35767,33938,32820,34269,31409,32118
服務及銷售工作人員,34947,63588,35058,41552,49365,37008,33648,32195,31857,32433,32951,31541
技藝、機械設備操作及組裝人員,37431,44728,34625,47194,46209,42272,37543,33572,30715,37542,34006,33437
基層技術工及勞力工,32855,39089,30268,28663,39720,29500,30428,29581,28887,30780,28807,29666
