,工業及服務業
高階主管(總經理及總執行長),259.6
中階主管(經理),156.9
監督人員(含現場及辦公室主任、科/股長),92.6
數理工程及地球科學研究人員,101.3
精算師(取得正式資格者),339
統計及精算專業人員,127
生命科學及生態環境研究人員,88.3
農、林、漁、牧業專業人員,78.3
品管、工管及生管工程師,98.4
土木及水利工程師,85.3
環境工程師,86.4
航空機械工程師,110.1
冷凍空調工程師,94.6
機械工程師(含造船、輪機、鑄造),103.9
食品工程師,79.9
化學工程師,111.1
地質、採礦、鑽探、冶金工程師,128.3
紡織工程師,65.7
醫療器材、醫學工程師,91.5
生物科學工程師,76.1
光學工程師,107.5
電機、電子工程師,138.5
電信工程師,167.3
建築工程師(含建築師),88.4
景觀設計師、都市及交通規劃師,68.4
測量師及製圖師,67.9
室內設計師,68.1
平面及多媒體設計師,58.7
產品及服裝設計師(含工業設計),82.4
醫師,234
護理人員,71.1
獸醫師,62.6
藥事人員(含藥師),78.4
勞安及衛生管理人員(含工業安全管理師),84.2
物理治療師,61.3
營養師,63.3
聽力及語言治療師,68.8
職能治療師,62.8
呼吸治療師,77.9
醫院管理師,64.1
其他醫療保健專業人員,79
學前教育人員,51
補教業教師,43.3
會(審)計師,104.8
風險控管人員,129.9
財務及投資規劃分析人員,138.4
專案管理師(含經營管理顧問),97
稽核人員,129
人力資源管理師,92.8
廣告及行銷專業人員(含企劃),77
公關專業人員,79.1
資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),116.3
律師,166.3
專利工程師及公證人,97.4
人文社會科學研究人員,95
社工師、心理專業人員,64.5
編輯、作家及有關撰稿人員,56.8
新聞記者,65.6
翻譯人員,53.7
表演藝術人員(含演員、配音員),39.5
電影、舞台及有關導演與製作人,63.3
廣播、電視及其他媒體播報員,76.3
其他專業人員,0 
物理、化學及地球科學技術員,52.3
營建工程技術員(含建築、土木、景觀、測量、水利、消防),64
電機、電子技術員,79.4
航空機械技術員,98.5
冷凍空調技術員,54.8
機械技術員(含造船、輪機、鑄造),67.7
食品技術員,51.6
化工技術員,73.4
品管、工管及生管技術員,63.5
製圖員,50
地質、採礦、鑽探、冶金技術員,86.2
環境工程技術員,53.6
紡織技術員,47.7
發電設備操作員,103.2
焚化爐、水處理及氣(液)體設備操作員,77.1
化學加工設備控制員,84.7
石油及天然氣精煉設備操作員,101.1
金屬生產製程控制員,67.7
生命科學技術員,58.5
農業技術及農業推廣人員,76.7
船舶監管人員(含引水人員),194.9
航空駕駛員,352.9
飛航管制員,0 
醫療設備控制技術員,70.5
醫學及病理檢驗人員,71.7
義肢、義齒等人體輔具技術員,51.8
傳統醫學技術員,81.1
牙醫助理,37.5
病歷管理人員,49.2
配鏡、驗光技術員,40.1
物理、職能(復健)治療技術員,52.8
勞安及衛生技術員,54.8
其他醫療保健助理專業人員,44
證券金融交易員及經紀人(含理財專員、承銷人員),134.1
信用及貸款人員,114.8
會計人員,75.2
統計及精算助理專業人員,105.5
財物及損失鑑價人員,74.4
保險代理人(含保險業務員),90.2
工商業銷售代表(含業務員),71.4
採購員,64.7
報關員(含報驗、船務人員),58.7
會議及活動規劃人員,54.5
職業介紹人及承包人,53.3
不動產經紀人,68.7
拍賣員(不含電子購物、郵購),0 
專業秘書,79.7
土地代書(地政士),0 
法務人員,89.2
社會工作助理人員,49
職業運動員,141.4
運動、健身及休閒娛樂指導員,59.4
攝影師、攝影記者,52.5
節目助理及舞台相關工作人員,45.9
資訊管理及維護技術員,67.6
廣播及視聽技術員(含放映員),48.9
電信技術員,113.9
總務,53
辦公室綜合事務人員(含資料登錄、一般事務秘書),52.1
銀行、郵局櫃台事務人員,86.1
收帳、收費人員(含帳款催收),74.5
旅遊諮詢人員(含旅行社事務人員),46.8
接待員及服務台事務人員(含總機),47
電話及網路客服人員,55.2
統計調查訪談人員,52.7
醫院(診所)櫃台事務人員,41.6
會計助理、簿記、出納,48.7
核保人員,82.9
統計、財務、證券及保險事務人員,94.3
存貨事務人員,51.2
生產及物料規劃事務人員,58.6
運輸事務人員(含稽查、調度、管理、航務),79.6
人事事務人員,52.6
郵件處理及投遞人員,87.8
教務人員(含班導師、課輔人員),40.8
