,工業及服務業
隨車、船、飛機服務人員(含空服員),72
導遊、領隊及解說員,37
廚師,49.2
飲料調配及調酒員,39.2
餐飲服務人員(含餐食櫃台工作),42.2
美髮、美容及造型設計人員,37.8
旅館管家、舍監,39.6
殯葬服務人員,52.8
寵物美容師及動物照料工作人員,41.8
按摩師,38.9
銷售人員,49
收銀員及售票員,44
電話及網路行銷人員,67.4
加油站服務員,46.5
兒童照顧人員(含保母),40.3
健康照顧人員(含看護、月子照護),42.3
建築物管理員、保全及警衛人員,42.6
救生員,40
其他服務及銷售工作人員,0 
園藝及農牧業生產人員,38.4
砌磚及有關工作人員,47.6
砌石、裁石及石雕人員,42.6
鋼筋彎紮、模板及混凝土有關工作人員,54.4
營建木作人員,49.7
其他營建構造人員(含鷹架工、鋁門窗及廣告招牌製作安裝),47.9
屋頂工作、地面牆面鋪設、泥作工作人員,51
絕緣材料、玻璃安裝人員,41.3
管道裝設人員(含檢修),52.2
空調及冷凍機械裝修人員,49.9
油漆、噴漆人員(含裱糊工),48
金屬砂模及砂心製造人員,45.8
焊接及切割人員(含電焊工、氣焊工),50.2
板金人員,49.1
金屬結構預備及組合人員,49.2
鍛造、錘造及鍛壓工作人員,47.1
工具製造人員(含模具工、鉗工),47
金屬工具機設定及操作人員,47.8
車輛維修人員(含自行車、機車、汽車、火車),58.2
航空器維修人員,87.5
產業用機器維修人員,61.9
精密儀器製造及修理人員,58.7
樂器製造及調音人員,45.5
珠寶及貴金屬製作人員,62.6
陶瓷製品有關工作人員(含磚瓦),41.8
玻璃製品製造人員,65.7
各種材質手工藝人員,38.1
美編、印刷及有關工作人員(含印刷前置、裝訂),44.2
電力、電子、資通訊設備裝修人員(含水電工),63.6
食品製造及處理人員(含酒類、飲料、製糖、菸葉),43.7
產品分級及檢查人員,45
木材處理、家具木工及有關工作人員,39.1
服飾打樣人員,48.6
鞣(製)革、毛皮及皮革工作人員,46.5
製鞋及有關工作人員,59.1
潛水人員,0 
消毒及除蟲有關工作人員,44.5
光學鏡片製作人員,59.6
生產機械設備操作人員、剪裁或裁縫人員,53.1
洗滌工、熨燙工,38
組裝(現場)人員,48.4
半導體製品產線作業人員,81
軌道車輛駕駛人員,85.7
軌道制動器、號誌及轉轍器操作員,70.5
機車送件駕駛人員,45.7
小客、貨車駕駛人員,50.5
大客、貨車駕駛人員,56
推土、吊車、起重機等移運設備操作人員,60.7
船舶艙面水手及有關工作人員,90.1
清潔及家事工作人員(含建築清潔工、房務人員),37.2
勞力工(含理貨員、行李搬運工),44
廢棄物收集工及回收資源分類工,36.7
廚房幫工(含速食烹調),38.1
抄表員及自動販賣機收款員,50.1
停車場管理工,36.9
收票員、引座員、休閒遊樂場所服務員,36.8
