,工業及服務業
組裝(現場)人員,488491 
半導體製品產線作業人員,101086 
軌道車輛駕駛人員,3008 
軌道制動器、號誌及轉轍器操作員,2359 
機車送件駕駛人員,6295 
小客、貨車駕駛人員,110113 
大客、貨車駕駛人員,89065 
推土、吊車、起重機等移運設備操作人員,40533 
船舶艙面水手及有關工作人員,1465 
清潔及家事工作人員(含建築清潔工、房務人員),122104 
勞力工(含理貨員、行李搬運工),247430 
廢棄物收集工及回收資源分類工,11591 
廚房幫工(含速食烹調),33917 
抄表員及自動販賣機收款員,866 
停車場管理工,4710 
收票員、引座員、休閒遊樂場所服務員,12601 
